"Event_no","Event_sex","Event_name","Stroke_name","ActualSeed_time","Comp_no","Last_name","First_name","Team_name","Team_abbr","Ranking","score"
14,"M","PV","PV",1.84,434,"Yeboah              ","Rose                ","Illinois","ILL  ",1,10.00
14,"M","PV","PV",1.84,445,"Arboleda            ","Maria               ","Iowa","IOWA ",2,8.00
14,"M","PV","PV",1.84,520,"Enoe                ","Sharie              ","Kansas State","KSST",3,6.00
14,"M","PV","PV",1.84,627,"Diaz                ","Claudina            ","Missouri","MIZZ ",4,5.00
14,"M","PV","PV",1.84,628,"Perez-Snyman        ","Kristi              ","Missouri","MIZZ ",5,4.00
14,"M","PV","PV",1.84,677,"Rogers              ","Jenna               ","Nebraska","NEB  ",6,3.00
14,"M","PV","PV",1.84,927,"Jones               ","Alyssa              ","Stanford","STAN ",7,2.00
14,"M","PV","PV",1.84,1055,"Adeshina            ","Temitope            ","Texas Tech","TTU",8,1.00
15,"M","LJ","LJ",4.42,60,"Pujol               ","Carly               ","Arkansas State","ARST",1,10.00
15,"M","LJ","LJ",4.42,143,"Haywood             ","Molly               ","Baylor","BAY  ",2,8.00
15,"M","LJ","LJ",4.42,430,"Morello             ","Mia                 ","Illinois","ILL  ",3,6.00
15,"M","LJ","LJ",4.42,476,"Ellis               ","Erica               ","Kansas","KU   ",4,5.00
15,"M","LJ","LJ",4.42,793,"Fitzsimmons         ","Emily               ","Oregon","UO   ",5,4.00
15,"M","LJ","LJ",4.42,904,"Hirata              ","Gennifer            ","South Dakota","SDAK ",6,3.00
15,"M","LJ","LJ",4.42,906,"Willis              ","Anna                ","South Dakota","SDAK ",7,2.00
15,"M","LJ","LJ",4.42,1089,"Abrille             ","Ka'Leila            ","UCLA","UCLA ",8,1.00
16,"M","TJ","TJ",6.94,139,"Brown               ","Alexis              ","Baylor","BAY  ",1,10.00
16,"M","TJ","TJ",6.66,940,"Ochonogor           ","Prestina            ","Tarleton State","TARL ",2,8.00
16,"M","TJ","TJ",6.65,927,"Jones               ","Alyssa              ","Stanford","STAN ",3,6.00
16,"M","TJ","TJ",6.64,541,"Savage              ","Synclair            ","Louisville","LOU  ",4,5.00
16,"M","TJ","TJ",6.63,428,"Humphrey            ","Tacoria             ","Illinois","ILL  ",5,4.00
16,"M","TJ","TJ",6.58,140,"De Gannes           ","Janae               ","Baylor","BAY  ",6,3.00
16,"M","TJ","TJ",6.56,425,"Beckmon             ","Sophia              ","Illinois","ILL  ",7,2.00
16,"M","TJ","TJ",6.54,328,"Moore               ","Imani               ","Georgia Southern","GASO",8,1.00
