Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,5,JaMeesia,FORD,SO,893,South Carolina,SCAR,10.87,,10.87,,Final,track,53,f,Women,100 M,10.87,True,1.0,9.0
1,6,Anthaya,CHARLTON,JR,302,Florida,UF,10.87,,10.87,,Final,track,53,f,Women,100 M,10.87,True,1.0,9.0
1,4,Leah,BERTRAND,SR,730,Ohio State,OHST,10.91,,10.91,,Final,track,53,f,Women,100 M,10.91,True,3.0,5.5
1,7,Tima,GODBLESS,SO,551,LSU,LSU,10.91,,10.91,,Final,track,53,f,Women,100 M,10.91,True,3.0,5.5
1,3,Samirah,MOODY,SR,1118,USC,USC,10.93,,10.93,,Final,track,53,f,Women,100 M,10.93,True,5.0,3.5
1,8,Dajaz,DEFRAND,JR,1114,USC,USC,10.93,,10.93,,Final,track,53,f,Women,100 M,10.93,True,5.0,3.5
1,9,Shenese,WALKER,JR,290,Florida State,FSU,10.98,,10.98,,Final,track,53,f,Women,100 M,10.98,True,7.0,2.0
1,1,Victoria,CAMERON,SO,937,Tarleton State,TARL,11.01,,11.01,,Final,track,53,f,Women,100 M,11.01,True,8.0,0.5
1,2,Brianna,SELBY,FR,1120,USC,USC,11.01,,11.01,,Final,track,53,f,Women,100 M,11.01,True,8.0,0.5
1,4,Habiba,HARRIS,FR,303,Florida,UF,12.62,,12.62,,Final,track,52,f,Women,100 M Hurdles,12.62,True,1.0,10.0
1,5,Yanla,NDJIP-NYEMECK,SR,1098,UCLA,UCLA,12.71,,12.71,,Final,track,52,f,Women,100 M Hurdles,12.71,True,2.0,8.0
1,6,Aaliyah,MCCORMICK,JR,797,Oregon,UO,12.74,,12.74,,Final,track,52,f,Women,100 M Hurdles,12.74,True,3.0,6.0
1,8,Akala,GARRETT,SO,1001,Texas,TEX,12.75,,12.75,,Final,track,52,f,Women,100 M Hurdles,12.75,True,4.0,5.0
1,2,Marcia,SEY,JR,402,Howard,HOW,12.76,,12.76,,Final,track,52,f,Women,100 M Hurdles,12.76,True,5.0,4.0
1,7,Jaiya,COVINGTON,JR,1022,Texas A&M,TAMU,12.77,,12.77,,Final,track,52,f,Women,100 M Hurdles,12.77,True,6.0,3.0
1,3,Ana-Liese,TORIAN,SO,118,Auburn,AUB,12.81,,12.81,,Final,track,52,f,Women,100 M Hurdles,12.81,True,7.0,2.0
1,1,Janela,SPENCER,JR,735,Ohio State,OHST,12.94,,12.94,,Final,track,52,f,Women,100 M Hurdles,12.94,True,8.0,0.5
1,9,Oneka,WILSON,JR,228,Clemson,CLEM,12.94,,12.79,,Final,track,52,f,Women,100 M Hurdles,12.94,True,8.0,0.5
1,4,Lauren,FIELDS,,0,Illinois,ILL,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,5,Hoda,ELSHORBAGY,,0,Illinois,ILL,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,6,Hannah,DEDERICK,,0,Illinois,ILL,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,7,Chelsea,STEIN,,0,Arizona,ARIZ,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,8,Jacie,KING,,0,Arizona,ARIZ,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,9,Milena,SOBIE,,0,Arizona,ARIZ,,,,,Final,track,48,f,Women,100 M Para WC,,True,1.0,6.0
1,6,Margot,APPLETON,SR,1176,Virginia,UVA,4:05.68,,4:05.68,,Final,track,50,f,Women,1500 M,245.68,True,1.0,10.0
1,9,Maggi,CONGDON,SR,701,Northern Arizona,NAU,4:05.73,,4:05.73,,Final,track,50,f,Women,1500 M,245.73,True,2.0,8.0
1,5,Chloe,FOERSTER,JR,1203,Washington,WASH,4:05.75,,4:05.75,,Final,track,50,f,Women,1500 M,245.75,True,3.0,6.0
