Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
3,5,Jordan,ANTHONY,SO,78.0,Arkansas,ARK,9.75,,9.75,,Prelims,track,5,m,Men,100 M,9.75,True,1.0,10.0
2,5,Abdul-Rasheed,SAMINU,SR,920.0,South Florida,USF,9.86,,9.86,,Prelims,track,5,m,Men,100 M,9.86,True,2.0,8.0
2,4,Taylor,BANKS,SR,1123.0,USC,USC,9.91,,9.91,,Prelims,track,5,m,Men,100 M,9.91,True,3.0,5.5
2,9,Israel,OKON,FR,128.0,Auburn,AUB,9.91,,9.91,,Prelims,track,5,m,Men,100 M,9.91,True,3.0,5.5
1,7,Max,THOMAS,JR,1136.0,USC,USC,9.92,,9.92,,Prelims,track,5,m,Men,100 M,9.92,True,5.0,4.0
1,5,Kalen,WALKER,JR,472.0,Iowa,IOWA,9.94,,9.94,,Prelims,track,5,m,Men,100 M,9.94,True,6.0,3.0
3,4,Kanyinsola,AJAYI,SO,119.0,Auburn,AUB,9.95,,9.95,,Prelims,track,5,m,Men,100 M,9.95,True,7.0,1.5
3,3,Mason,LAWYER,JR,1198.0,Washington State,WAST,9.95,,9.95,,Prelims,track,5,m,Men,100 M,9.95,True,7.0,1.5
2,6,Eddie,NKETIA,SO,1134.0,USC,USC,9.96,,9.96,,Prelims,track,5,m,Men,100 M,9.96,True,9.0,0.0
2,3,Jelani,WATKINS,FR,569.0,LSU,LSU,10.01,,10.01,,Prelims,track,5,m,Men,100 M,10.01,True,10.0,0.0
3,8,Chance,CROSS,JR,489.0,Kennesaw State,KENN,10.01,,10.01,,Prelims,track,5,m,Men,100 M,10.01,True,10.0,0.0
2,2,Ernest,CAMPBELL,FR,1032.0,Texas A&M,TAMU,10.02,,10.02,,Prelims,track,5,m,Men,100 M,10.02,True,12.0,0.0
1,8,Neo,MOSEBI,SO,294.0,Florida State,FSU,10.03,,10.03,,Prelims,track,5,m,Men,100 M,10.03,True,13.0,0.0
1,3,Malachi,SNOW,SO,1077.0,Texas Tech,TTU,10.04,,10.04,,Prelims,track,5,m,Men,100 M,10.04,True,14.0,0.0
1,6,T'Mars,MCCALLUM,JR,991.0,Tennessee,TENN,10.04,,9.94,,Prelims,track,5,m,Men,100 M,10.04,True,14.0,0.0
3,6,Jaiden,REID,SO,563.0,LSU,LSU,10.05,,10.05,,Prelims,track,5,m,Men,100 M,10.05,True,16.0,0.0
1,2,Connor,WASHINGTON,SR,95.0,Arkansas,ARK,10.05,,10.05,,Prelims,track,5,m,Men,100 M,10.05,True,16.0,0.0
2,7,Jaleel,CROAL,JR,911.0,South Florida,USF,10.05,,10.05,,Prelims,track,5,m,Men,100 M,10.05,True,16.0,0.0
3,2,Davonte,HOWELL,SO,990.0,Tennessee,TENN,10.05,,10.05,,Prelims,track,5,m,Men,100 M,10.05,True,16.0,0.0
3,9,Tristyn,FLORES,JR,531.0,Long Beach St.,LBST,10.05,,10.05,,Prelims,track,5,m,Men,100 M,10.05,True,16.0,0.0
3,7,Chrstyn John (Jc),STEVENSON,JR,1135.0,USC,USC,10.06,,10.06,,Prelims,track,5,m,Men,100 M,10.06,True,21.0,0.0
2,8,Travis,WILLIAMS,SR,1137.0,USC,USC,10.07,,10.07,,Prelims,track,5,m,Men,100 M,10.07,True,22.0,0.0
1,4,Jehlani,GORDON,SO,357.0,Georgia,UGA,10.07,,10.05,,Prelims,track,5,m,Men,100 M,10.07,True,22.0,0.0
1,9,Jamarion,STUBBS,JR,14.0,Alabama State,ALST,10.11,,10.07,,Prelims,track,5,m,Men,100 M,10.11,True,24.0,0.0
1,7,Evans,KURUI,SO,1197.0,Washington State,WAST,27:37.32,,27:37.32,,Final,track,10,m,Men,10000 M,1657.32,True,1.0,10.0
1,20,Dylan,SCHUBERT,SR,326.0,Furman,FURM,27:45.63,,27:45.63,,Final,track,10,m,Men,10000 M,1665.63,True,2.0,8.0
1,22,Ernest,CHERUIYOT,SO,1068.0,Texas Tech,TTU,27:45.65,,27:45.65,,Final,track,10,m,Men,10000 M,1665.65,True,3.0,6.0
1,14,Dismus,LOKIRA,FR,34.0,Alabama,BAMA,27:47.20,,27:47.20,,Final,track,10,m,Men,10000 M,1667.2,True,4.0,5.0
1,8,David,MULLARKEY,SR,707.0,Northern Arizona,NAU,27:51.80,,27:51.80,,Final,track,10,m,Men,10000 M,1671.8,True,5.0,4.0
1,16,Rodgers,KIPLIMO,JR,420.0,Iowa State,IAST,27:52.12,,27:52.12,,Final,track,10,m,Men,10000 M,1672.12,True,6.0,3.0
1,15,Drew,BOSLEY,SR,705.0,Northern Arizona,NAU,27:53.48,,27:53.48,,Final,track,10,m,Men,10000 M,1673.48,True,7.0,2.0
1,6,Timothy,CHESONDIN,SO,81.0,Arkansas,ARK,27:55.10,,27:55.10,,Final,track,10,m,Men,10000 M,1675.1,True,8.0,1.0
1,17,Dennis,KIPRUTO,SO,33.0,Alabama,BAMA,27:58.10,,27:58.10,,Final,track,10,m,Men,10000 M,1678.1,True,9.0,0.0
